filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,simple_ttr_cw,simple_ttr_fw,root_ttr_aw,root_ttr_cw,root_ttr_fw,log_ttr_aw,log_ttr_cw,log_ttr_fw,maas_ttr_aw,maas_ttr_cw,maas_ttr_fw,mattr50_aw,mattr50_cw,mattr50_fw,msttr50_aw,msttr50_cw,msttr50_fw,hdd42_aw,hdd42_cw,hdd42_fw,mtld_original_aw,mtld_original_cw,mtld_original_fw,mtld_ma_bi_aw,mtld_ma_bi_cw,mtld_ma_bi_fw,mtld_ma_wrap_aw,mtld_ma_wrap_cw,mtld_ma_wrap_fw
0049B1DF5CCC.txt,224,92,100,55,124,37,0.5978260869565217,0.44642857142857145,0.4107142857142857,0.55,0.29838709677419356,6.147008563985761,5.5,3.322698087495336,0.8355662091941567,0.8701813447471219,0.7491093338633602,0.06996444184745772,0.06490932762643903,0.11984717074199809,0.6957714285714294,0.6854901960784312,0.4949333333333334,0.6900000000000001,0.65,0.48,0.746164617801708,0.7364159371964971,0.5230441780561934,39.25507299493006,33.37444850324968,16.564586094710208,41.49605263157895,32.46844484629295,17.105460899956313,43.32142857142857,34.12,17.112903225806452
00898D9FB10A.txt,297,132,144,84,153,48,0.6363636363636364,0.48484848484848486,0.4444444444444444,0.5833333333333334,0.3137254901960784,7.659416862050705,7.0,3.880570000581328,0.8575749268761959,0.891545925723473,0.7695554684106577,0.05759769554463447,0.05024831309556545,0.10548150111208189,0.7295161290322586,0.7191578947368419,0.5026923076923075,0.72,0.71,0.5133333333333333,0.776754982644612,0.7973179443519681,0.538248806045676,52.17861522738886,61.03467666354264,17.007502206531335,48.2314948156682,36.1582967032967,17.323943661971832,48.64646464646464,43.986111111111114,17.084967320261438
00A49C7C4858.txt,444,136,200,92,244,44,0.6764705882352942,0.45045045045045046,0.3063063063063063,0.46,0.18032786885245902,6.454274371116994,6.505382386916237,2.8168113585237116,0.8059049002184391,0.8534386040364885,0.6883889084031851,0.07331583755453314,0.06369382243590441,0.13052375785428294,0.6813164556962023,0.7045033112582784,0.43569230769230743,0.665,0.7,0.445,0.7256912004662672,0.745854718620374,0.4940451549027922,37.52870972729327,40.56737588652483,13.12587552531519,35.855714118610365,40.006410256410255,12.773769003857499,36.247747747747745,39.775,12.721311475409836
00A6131B713F.txt,168,95,78,56,90,39,0.5894736842105263,0.4642857142857143,0.5654761904761905,0.717948717948718,0.43333333333333335,7.329409123199365,6.340751391209736,4.110960958218893,0.8887410040167553,0.9239432449732425,0.814159245508879,0.04999709339142136,0.040197120650631274,0.09509605568064274,0.7673949579831932,0.7655172413793105,0.5087804878048784,0.7600000000000001,0.78,0.54,0.8042667946946329,0.8170030064766904,0.5921017676390603,60.06472756744422,72.3313953488372,21.11139618416756,60.057496075353214,56.2625,21.29296087131908,70.86904761904762,69.96153846153847,22.77777777777778
01A65BA4080E.txt,456,134,213,74,243,60,0.5522388059701493,0.46710526315789475,0.29385964912280704,0.3474178403755869,0.24691358024691357,6.27512493759735,5.070396452723735,3.849001794597505,0.7999747737293612,0.8028036824280478,0.7453666055721684,0.07522672848513562,0.0846925120288448,0.1067373930249425,0.7332186732186743,0.6135365853658535,0.568969072164949,0.7355555555555555,0.5850000000000001,0.555,0.7569128802124838,0.6506059646190698,0.5989673889783005,51.20805698845493,30.428571428571427,23.99776119402985,50.70871418422922,29.28639297487465,22.977854122621565,50.453947368421055,28.769953051643192,23.522633744855966
01C53183305A.txt,168,69,68,39,100,30,0.5652173913043478,0.40476190476190477,0.4107142857142857,0.5735294117647058,0.3,5.323465573692171,4.729444688208493,3.0,0.8263341665977845,0.8682438573664704,0.7385606273598312,0.07804121199167746,0.07189931886276785,0.1307196863200844,0.6890756302521012,0.6642105263157895,0.4403921568627454,0.6733333333333333,0.7,0.44999999999999996,0.714047921622181,0.6940639383297414,0.49031715384317026,39.765957446808514,34.0,14.589665653495441,39.27755141019927,33.11020960108181,15.01222222222222,38.148809523809526,31.13235294117647,15.71
02A574A22EFC.txt,364,127,145,78,219,49,0.6141732283464567,0.3983516483516483,0.3489010989010989,0.5379310344827586,0.2237442922374429,6.656608713184181,6.477547428591717,3.311113154157481,0.8214449199033497,0.8754152928765251,0.7221689547344629,0.06971808349197216,0.0576415987442432,0.11870868588738613,0.6726984126984125,0.7054166666666665,0.4875294117647061,0.6657142857142857,0.71,0.455,0.7527838794092984,0.8008409657351603,0.5389586415814323,37.17564687975647,36.583998293551986,15.181748071979435,36.4492889069484,32.39699381078692,16.117937983069563,36.95879120879121,33.73103448275862,16.200913242009133
02B36EBD5C66.txt,418,153,183,92,235,61,0.6013071895424836,0.43779904306220097,0.3660287081339713,0.5027322404371585,0.25957446808510637,7.483474617081133,6.80083569278207,3.9792012456259975,0.8334774910057354,0.867991284434591,0.7529644610425577,0.06352968709204752,0.05834765496793031,0.10418746037945786,0.754959349593497,0.7195522388059696,0.554408602150538,0.77,0.6933333333333334,0.535,0.7857511045561878,0.7599788492032293,0.6073028822454376,58.66445649989954,52.65176606514084,25.199923083226555,59.95035857089667,42.278195488721806,22.532463928967815,61.42822966507177,46.005464480874316,23.948936170212765
03A3B40D651B.txt,283,107,131,65,152,42,0.6074766355140186,0.4628975265017668,0.37809187279151946,0.4961832061068702,0.27631578947368424,6.360489791572075,5.679076368296746,3.4066498437460138,0.8277163737759428,0.8562499101379246,0.7439805948358332,0.0702686105640421,0.06789403424918813,0.11734086099422412,0.7017094017094018,0.680487804878049,0.47941747572815585,0.72,0.7,0.48666666666666664,0.7661779462845488,0.7206202548536534,0.5647235041353048,40.42857142857143,30.897624434389137,17.944444444444443,41.640456741326304,31.95501990269792,16.64896115627823,43.6113074204947,31.641221374045802,18.782894736842106
03D00899C901.txt,493,126,183,76,310,50,0.6031746031746031,0.3711967545638945,0.25557809330628806,0.41530054644808745,0.16129032258064516,5.674754598799167,5.618081659254753,2.839809171235324,0.779981413010031,0.8313167965566451,0.6819443393308573,0.08170482525944059,0.07455772379302726,0.12766338242105923,0.6647747747747745,0.6546268656716421,0.45731800766283576,0.66,0.6333333333333334,0.4733333333333334,0.7087102230315385,0.6987422999912243,0.514367996798448,37.02100563565834,24.929122038299255,16.967153765139546,37.09752249036127,30.356191222570533,16.3890395480226,37.563894523326574,33.131147540983605,16.383870967741935
